% 1. Title: content-length
%
% 2. Sources:
%      (a) Creator: visit-the-dome
%      (b) Date:    2019-08-05
%      (c) Corpus:  data/sample-sbm/processed
%

@RELATION  ArgumentativeDiscourseUnit-unitType

@ATTRIBUTE ContentLength_characters  NUMERIC
@ATTRIBUTE ContentLength_tokens  NUMERIC
@ATTRIBUTE class  {conclusion,premise}

@DATA
{0 0.07193, 1 0.05769, 2 premise}
{0 0.157, 1 0.12692, 2 conclusion}
{0 0.12452, 1 0.1, 2 premise}
{0 0.08894, 1 0.08077, 2 premise}
{0 0.19335, 1 0.18077, 2 premise}
{0 0.0348, 1 0.03462, 2 premise}
{0 0.04486, 1 0.04231, 2 conclusion}
{0 0.10286, 1 0.11538, 2 premise}
{0 0.15545, 1 0.13077, 2 premise}
{0 0.058, 1 0.05769, 2 premise}
{0 0.058, 1 0.05385, 2 premise}
{0 0.08353, 1 0.08462, 2 conclusion}
{0 0.16241, 1 0.14231, 2 premise}
{0 0.07657, 1 0.07308, 2 conclusion}
{0 0.15855, 1 0.12308, 2 premise}
{0 0.17479, 1 0.12692, 2 premise}
{0 0.27146, 1 0.23077, 2 premise}
{0 0.15777, 1 0.14615, 2 conclusion}
{0 0.02707, 1 0.02308, 2 premise}
{0 0.05259, 1 0.04231, 2 conclusion}
{0 0.05104, 1 0.04615, 2 premise}
{0 0.02784, 1 0.01923, 2 premise}
{0 0.03403, 1 0.03462, 2 conclusion}
{0 0.0495, 1 0.04615, 2 premise}
{0 0.06419, 1 0.06154, 2 premise}
{0 0.11833, 1 0.09615, 2 conclusion}
{0 0.13534, 1 0.13846, 2 premise}
{0 0.13921, 1 0.11154, 2 premise}
{0 0.11214, 1 0.09615, 2 premise}
{0 0.12916, 1 0.11538, 2 premise}
{0 0.07347, 1 0.08077, 2 premise}
{0 0.09513, 1 0.08462, 2 premise}
{0 0.0263, 1 0.02308, 2 premise}
{0 0.03326, 1 0.03462, 2 premise}
{0 0.16396, 1 0.11923, 2 conclusion}
{0 0.058, 1 0.04615, 2 conclusion}
